year,pub3,pub4,pub5,pub6
1950,1,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,1,0,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,1,0,0
1965,1,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,1,0,0,1
1974,2,0,0,0
1975,1,0,0,0
1976,0,0,0,0
1977,1,0,0,0
1978,0,0,0,0
1979,1,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,1,0,0,0
1988,1,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,2,0,0,0
1992,1,0,0,0
1993,3,0,0,0
1994,6,0,0,0
1995,4,0,0,2
1996,1,0,0,3
1997,6,0,0,7
1998,6,0,0,11
1999,15,0,0,12
2000,7,0,0,15
2001,10,0,0,21
2002,13,1,0,18
2003,11,2,0,18
2004,14,1,0,9
2005,22,1,0,26
2006,21,0,0,17
2007,26,1,0,15
2008,24,0,3,10
2009,17,2,7,20
2010,24,4,12,16
2011,23,0,29,13
2012,23,5,29,11
2013,30,21,25,12
2014,31,27,36,13
2015,27,51,28,21
2016,30,63,31,12
2017,26,66,34,16
2018,37,95,40,16
2019,45,66,32,23
2020,36,69,41,20
2021,39,63,29,27
2022,34,59,28,26
2023,41,57,35,22
2024,51,83,37,26
2025,29,55,18,24
