year,pub1,pub2,pub3,pub4,pub5,pub6,pub7,pub8,pub9,pub10,pub11,pub12,pub13,pub14,pub15,pub16
1954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1959,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1968,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1970,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1973,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1976,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0
1977,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
1978,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1979,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1980,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
1981,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1
1982,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1
1983,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
1984,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0
1985,0,0,3,0,0,1,0,0,0,2,0,3,0,0,0,1
1986,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,1
1987,1,0,4,0,0,1,0,0,0,2,0,1,0,0,1,1
1988,0,0,6,0,0,0,0,1,0,13,0,1,0,0,1,0
1989,0,0,2,0,0,2,0,3,0,10,2,3,0,0,0,0
1990,0,0,3,1,0,0,0,1,0,6,3,3,0,0,1,0
1991,1,0,3,0,0,2,0,1,0,7,2,4,0,0,1,0
1992,0,0,2,0,0,1,0,0,0,4,2,4,0,0,0,0
1993,1,0,6,0,0,2,1,3,0,6,2,2,0,0,1,2
1994,1,0,8,1,0,0,0,2,0,11,2,4,0,0,2,3
1995,3,0,3,0,2,4,0,4,0,7,5,8,0,0,0,6
1996,3,0,5,1,7,3,0,1,0,7,2,10,0,0,2,7
1997,1,0,7,0,2,2,0,4,0,8,2,3,0,0,3,4
1998,1,0,7,2,6,0,0,6,0,7,4,2,0,0,3,11
1999,1,0,6,2,9,2,0,3,0,3,5,5,0,0,1,6
2000,3,0,3,6,9,0,1,4,0,8,2,5,0,1,2,10
2001,2,1,8,10,7,3,0,5,0,4,5,4,0,3,1,10
2002,3,0,13,11,14,5,0,2,1,4,8,9,0,5,6,7
2003,3,0,8,23,14,6,1,6,1,3,5,5,0,13,6,12
2004,1,1,12,19,9,2,0,5,0,4,5,5,1,17,6,13
2005,2,0,15,32,15,4,1,9,1,7,7,10,0,19,4,19
2006,5,0,8,36,17,3,0,8,1,5,9,6,0,33,9,17
2007,2,2,12,21,11,5,1,12,2,3,8,9,1,28,14,15
2008,2,5,15,30,21,1,1,13,0,7,8,7,0,27,7,11
2009,3,27,14,17,11,11,3,16,2,8,12,6,5,29,11,17
2010,2,42,12,22,17,5,1,18,3,6,16,8,9,31,22,17
2011,4,27,15,23,18,10,1,9,3,7,14,13,17,29,15,15
2012,2,31,21,12,21,9,6,15,4,14,16,10,10,18,16,20
2013,4,36,15,22,20,21,18,31,6,12,12,15,15,30,15,15
2014,10,32,21,17,16,27,27,18,15,19,17,11,28,18,11,13
2015,16,34,21,16,14,42,34,25,15,9,20,22,35,20,25,18
2016,25,36,24,18,15,55,53,24,31,28,19,21,51,28,21,24
2017,56,39,20,11,34,59,59,31,52,37,31,25,69,24,43,20
2018,89,37,29,24,28,55,61,21,68,37,41,35,62,26,36,25
2019,110,48,28,13,27,67,71,33,57,33,42,43,63,25,62,33
2020,84,30,30,16,27,49,54,26,67,51,43,40,56,27,52,22
2021,60,21,35,16,25,42,47,20,62,39,48,46,56,19,53,29
2022,61,38,23,13,29,42,48,22,67,62,49,58,59,21,41,30
2023,64,32,29,24,29,37,38,15,102,51,56,59,70,13,36,23
2024,61,27,18,18,30,43,34,19,112,56,39,67,63,9,52,29
2025,35,29,18,5,10,21,13,11,56,30,31,35,43,12,29,19
